center,branch,cap,run_id,seed,rfecv_target,run_best_feature_count,run_best_absolute_target_deviation,base_development_cv_balanced_accuracy,raw_untruncated_objective,diagnostic_legacy_truncated_run_best_fitness,diagnostic_zero_legacy_run_best,diagnostic_all_zero_legacy_fitness_generations,actual_uniform_sampling_fallback_generations,mean_population_unique_masks,minimum_population_unique_masks,final_population_unique_masks,stable_feature_set_identifier,runtime_seconds,history_generations,python_version,numpy_version,pandas_version,scikit_learn_version,backend,objective_mode,held_out_inputs_used
mount_sinai,boruta_rf,reference,3,44,22,24,2,0.7029614524044968,0.6729614524044968,0.6729614524044968,False,2,0,50.0,50,50,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,1546.701919916999,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,reference,4,45,22,27,5,0.7049606250572789,0.6299606250572789,0.6299606250572789,False,3,0,50.0,50,50,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,1521.8813344970004,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,reference,5,46,22,25,3,0.6940463203048931,0.6490463203048931,0.6490463203048931,False,4,0,50.0,50,50,671553fed907e6c129090a54ab37beac23f09f105f1eddb97e53c71e150516dc,1529.9514781980015,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,svm_l1,low,1,42,10,12,2,0.7241681287016066,0.6941681287016066,0.6941681287016066,False,0,0,49.98,49,50,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,1600.9003767400009,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,svm_l1,low,2,43,10,10,0,0.680981692537723,0.680981692537723,0.680981692537723,False,0,0,50.0,50,50,fc8625a399b4046ba0273bdbbb7a18306dd6a35aab1ded3671ef40664bae512d,1549.364080845,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,svm_l1,low,3,44,10,10,0,0.6887649083259789,0.6887649083259789,0.6887649083259789,False,0,0,49.98,49,50,0a7435542f850634b430eb8d226303ba83a59b4c212c13409caa057b9116acb5,1537.9691421559999,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,svm_l1,low,4,45,10,13,3,0.7042924181273092,0.6592924181273092,0.6592924181273092,False,0,0,50.0,50,50,40f80ae271c76b1fe26f14d34a1186f67c717754d10867dd1b22c0255c164fb1,1524.9255899509994,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,svm_l1,low,5,46,10,11,1,0.6917376114374423,0.6767376114374423,0.6767376114374423,False,0,0,49.96,49,50,56464df388a54b8748ea610aa297b76c3056ebbf7ac7bff3bbe32aea95cb7d18,1527.02804079,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,svm_l1,reference,1,42,17,17,0,0.7315147947809277,0.7315147947809277,0.7315147947809277,False,0,0,49.96,49,50,941db77b52235f3e0f64b8447be3ae80cdef609619aba75200c0c65112bfc775,1520.8472171019994,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,svm_l1,reference,2,43,17,17,0,0.7552211381644537,0.7552211381644537,0.7552211381644537,False,0,0,50.0,50,50,bdecdc8c37bbfb9c66214fe7d9e9dc133bba2257032c2fb221eb4244311cac49,1526.4479753939995,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
