center,branch,cap,run_i,run_j,stable_mask_hash_i,stable_mask_hash_j,jaccard
mayo,xgboost,low,5,5,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1.0
mayo,xgboost,low,5,3,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,0.1794871794871795
mayo,xgboost,low,3,5,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,0.1794871794871795
mayo,xgboost,low,3,3,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1.0
mayo,xgboost,reference,5,5,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1.0
mayo,xgboost,reference,5,3,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,0.1794871794871795
mayo,xgboost,reference,3,5,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,0.1794871794871795
mayo,xgboost,reference,3,3,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1.0
mount_sinai,boruta_rf,low,3,3,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,1.0
mount_sinai,boruta_rf,low,3,2,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,0.14285714285714285
mount_sinai,boruta_rf,low,3,4,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,0.21428571428571427
mount_sinai,boruta_rf,low,2,3,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,0.14285714285714285
mount_sinai,boruta_rf,low,2,2,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,1.0
mount_sinai,boruta_rf,low,2,4,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,0.13333333333333333
mount_sinai,boruta_rf,low,4,3,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,0.21428571428571427
