outer_repeat,outer_fold,branch,method,n_features,model_seed,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
2,3,xgboost,direct,100,52310,0.8306422615052645,0.6849512547870127,0.6734848484848485,0.6632653061224489,0.6509507258229401
2,3,xgboost,rfecv_only,20,52310,0.8216999493025035,0.6462079960833121,0.6636363636363636,0.6428571428571429,0.6589905192846369
2,3,xgboost,highest_locking_score,20,52310,0.8289782199224923,0.6752485345557904,0.6696969696969697,0.6530612244897959,0.6527694704483177
2,3,xgboost,legacy_top3_medoid,20,52310,0.8004868583428955,0.6305670299707101,0.6716783216783215,0.6632653061224489,0.6586827765932244
2,3,xgboost,unrestricted_medoid,20,52310,0.8004768902408221,0.6318913411043467,0.600932400932401,0.5918367346938775,0.5894179894179895
2,3,xgboost,regret_constrained_medoid,20,52310,0.8156862745098039,0.6522772914295375,0.6883449883449884,0.6836734693877551,0.6894339674359958
2,3,boruta_rf,direct,100,52320,0.8406368399402455,0.6888832036971351,0.6992424242424242,0.6836734693877551,0.6913990969522138
2,3,boruta_rf,rfecv_only,9,52320,0.8209467261324846,0.6615283938747379,0.721969696969697,0.7040816326530612,0.7188811188811189
2,3,boruta_rf,highest_locking_score,20,52320,0.8198136551271226,0.684461145611235,0.6628787878787877,0.6428571428571429,0.6547831253713606
2,3,boruta_rf,legacy_top3_medoid,12,52320,0.8000007216725482,0.6522736232128474,0.675,0.6530612244897959,0.6689012918600277
2,3,boruta_rf,unrestricted_medoid,17,52320,0.8138778082083036,0.6359589056106131,0.6530303030303031,0.6326530612244898,0.6412087912087913
2,3,boruta_rf,regret_constrained_medoid,12,52320,0.8000007216725482,0.6522736232128474,0.675,0.6530612244897959,0.6689012918600277
2,4,svm_l1,direct,71,52400,0.8579456076157725,0.7294278802277737,0.7287492617327699,0.7142857142857143,0.7143037826899129
2,4,svm_l1,rfecv_only,15,52400,0.8604588964259129,0.7204326929974896,0.698605242833129,0.673469387755102,0.6914009193420958
2,4,svm_l1,highest_locking_score,15,52400,0.8626352208511129,0.7233613950127381,0.7246263232020353,0.7040816326530612,0.7191142191142191
2,4,svm_l1,legacy_top3_medoid,15,52400,0.8626352208511129,0.7233613950127381,0.7246263232020353,0.7040816326530612,0.7191142191142191
2,4,svm_l1,unrestricted_medoid,15,52400,0.838469017239632,0.6987998502086359,0.651004043432829,0.6224489795918368,0.6387153729797317
2,4,svm_l1,regret_constrained_medoid,15,52400,0.838469017239632,0.6987998502086359,0.651004043432829,0.6224489795918368,0.6387153729797317
2,4,xgboost,direct,100,52410,0.8624277022327997,0.7414829121357294,0.7384148834673573,0.7244897959183674,0.7221407624633431
2,4,xgboost,rfecv_only,19,52410,0.8266475154031376,0.6689788987669898,0.6908136840670573,0.673469387755102,0.6686827956989247
2,4,xgboost,highest_locking_score,21,52410,0.8409863949144308,0.721374212833019,0.7330880014538185,0.7142857142857143,0.7198283450704225
2,4,xgboost,legacy_top3_medoid,19,52410,0.8277390675291725,0.6977562573883469,0.7031029939575666,0.673469387755102,0.7030423993958357
2,4,xgboost,unrestricted_medoid,19,52410,0.8277390675291725,0.6977562573883469,0.7031029939575666,0.673469387755102,0.7030423993958357
2,4,xgboost,regret_constrained_medoid,21,52410,0.8409863949144308,0.721374212833019,0.7330880014538185,0.7142857142857143,0.7198283450704225
2,4,boruta_rf,direct,100,52420,0.8912980223175125,0.7544660052430208,0.7103039389396211,0.6938775510204082,0.6927534745371557
2,4,boruta_rf,rfecv_only,9,52420,0.8203338191044338,0.6619235336302722,0.6249829630639225,0.5918367346938775,0.6162703416801778
2,4,boruta_rf,highest_locking_score,19,52420,0.8561783443942363,0.7008512320723896,0.6953114351914952,0.673469387755102,0.6852477477477477
2,4,boruta_rf,legacy_top3_medoid,19,52420,0.8561783443942363,0.7008512320723896,0.6953114351914952,0.673469387755102,0.6852477477477477
2,4,boruta_rf,unrestricted_medoid,16,52420,0.8488871648092038,0.7004899643773211,0.6885648085048385,0.673469387755102,0.6586781570652538
2,4,boruta_rf,regret_constrained_medoid,19,52420,0.8561783443942363,0.7008512320723896,0.6953114351914952,0.673469387755102,0.6852477477477477
2,5,svm_l1,direct,85,52500,0.8533119454258884,0.7108606337007639,0.664792603698151,0.6428571428571429,0.6415093744081813
2,5,svm_l1,rfecv_only,13,52500,0.8424174975449339,0.6853637156448059,0.6617145972468311,0.6326530612244898,0.6485199485199484
2,5,svm_l1,highest_locking_score,13,52500,0.8219645771519835,0.6607403206504533,0.6054927081913589,0.5714285714285714,0.5917848844319433
2,5,svm_l1,legacy_top3_medoid,13,52500,0.8219645771519835,0.6607403206504533,0.6054927081913589,0.5714285714285714,0.5917848844319433
2,5,svm_l1,unrestricted_medoid,13,52500,0.8190945086897111,0.6446808169933881,0.6368974603607287,0.6020408163265306,0.6294274228596263
2,5,svm_l1,regret_constrained_medoid,13,52500,0.8190945086897111,0.6446808169933881,0.6368974603607287,0.6020408163265306,0.6294274228596263
2,5,xgboost,direct,100,52510,0.8438194888569702,0.6968114668280128,0.6670414792603697,0.6428571428571429,0.6489457736254025
2,5,xgboost,rfecv_only,20,52510,0.8135120901087918,0.6433003410091569,0.6346485847985098,0.6020408163265306,0.6228782954135067
2,5,xgboost,highest_locking_score,20,52510,0.866615748070021,0.7358572500815419,0.6542978510744627,0.6224489795918368,0.6492699679936706
2,5,xgboost,legacy_top3_medoid,20,52510,0.866615748070021,0.7358572500815419,0.6542978510744627,0.6224489795918368,0.6492699679936706
2,5,xgboost,unrestricted_medoid,20,52510,0.814778799411483,0.6462230946642175,0.6175662168915542,0.5816326530612245,0.6125
2,5,xgboost,regret_constrained_medoid,20,52510,0.866615748070021,0.7358572500815419,0.6542978510744627,0.6224489795918368,0.6492699679936706
2,5,boruta_rf,direct,100,52520,0.8501335346312857,0.7118179155153499,0.6291059015946572,0.6020408163265306,0.6057275541795665
2,5,boruta_rf,rfecv_only,9,52520,0.8145266178099762,0.6491311777995479,0.6617145972468311,0.6326530612244898,0.6494209373307733
2,5,boruta_rf,highest_locking_score,20,52520,0.8442312060752839,0.7100929005959561,0.6444732179364863,0.6122448979591837,0.6342637383900929
2,5,boruta_rf,legacy_top3_medoid,16,52520,0.8272743348605418,0.6792357987780525,0.6120803234746264,0.5714285714285714,0.6105118986474919
2,5,boruta_rf,unrestricted_medoid,15,52520,0.8686708394054721,0.7352207705460205,0.6746172368361274,0.6530612244897959,0.6570102897544348
