dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,fixed_run_1,1.0,45.0,86,0.4767441860465116,macro OvR AUROC,0.8830517487138596,0.8705907582978651,0.012460990415994466,0.392921603199259,0.38574155623787976,0.015000000000000013,,,,,,False,complete,
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,legacy_top_three_medoid,5.0,45.0,86,0.4767441860465116,macro OvR AUROC,0.8830517487138596,0.8830517487138596,0.0,0.392921603199259,0.42445054945054944,0.015000000000000013,macro OvR AUROC,0.8486839517296811,0.85785344148254,-0.009169489752858806,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,all_run_medoid,5.0,45.0,86,0.4767441860465116,macro OvR AUROC,0.8830517487138596,0.8830517487138596,0.0,0.392921603199259,0.42445054945054944,0.015000000000000013,macro OvR AUROC,0.8486839517296811,0.85785344148254,-0.009169489752858806,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,45.0,86,0.4767441860465116,macro OvR AUROC,0.8830517487138596,0.8830517487138596,0.0,0.392921603199259,0.42445054945054944,0.015000000000000013,macro OvR AUROC,0.8486839517296811,0.85785344148254,-0.009169489752858806,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,Direct,,86.0,86,0.0,macro OvR AUROC,0.8830517487138596,,,,,,macro OvR AUROC,0.85785344148254,0.85785344148254,0.0,archived budget_summary.json variant=direct; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,RFECV-only,,45.0,86,0.4767441860465116,macro OvR AUROC,0.8830517487138596,,,,,,macro OvR AUROC,0.849721876906818,0.85785344148254,-0.00813156457572195,archived budget_summary.json variant=rfecv_only; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,mayo,low,legacy_zero_truncated,highest_development_cv_run,3.0,22.0,86,0.7441860465116279,macro OvR AUROC,0.8705392680863664,0.8705392680863664,0.0,0.12809399506086186,0.15120330459770115,-0.138127336580945,macro OvR AUROC,0.8096836365189609,0.85785344148254,-0.04816980496357903,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,low,legacy_zero_truncated,fixed_run_1,1.0,13.0,86,0.8488372093023255,macro OvR AUROC,0.8705392680863664,0.8580699254954931,0.012469342590873289,0.12809399506086186,0.11429989550679207,-0.138127336580945,,,,,,False,complete,
AMP-AD,boruta_rf,mayo,low,legacy_zero_truncated,legacy_top_three_medoid,3.0,22.0,86,0.7441860465116279,macro OvR AUROC,0.8705392680863664,0.8705392680863664,0.0,0.12809399506086186,0.15120330459770115,-0.138127336580945,macro OvR AUROC,0.8096836365189609,0.85785344148254,-0.04816980496357903,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,low,legacy_zero_truncated,all_run_medoid,3.0,22.0,86,0.7441860465116279,macro OvR AUROC,0.8705392680863664,0.8705392680863664,0.0,0.12809399506086186,0.15120330459770115,-0.138127336580945,macro OvR AUROC,0.8096836365189609,0.85785344148254,-0.04816980496357903,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,mayo,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,3.0,22.0,86,0.7441860465116279,macro OvR AUROC,0.8705392680863664,0.8705392680863664,0.0,0.12809399506086186,0.15120330459770115,-0.138127336580945,macro OvR AUROC,0.8096836365189609,0.85785344148254,-0.04816980496357903,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
